geoid,geoid20,year,denom_total_pop,toxic_releases,toxic_releases_pctile
1400000US06037408703,6037408703,2021,6545,2674.6399,65
1400000US06037432902,6037432902,2021,3312,1988.34,53
1400000US06037400801,6037400801,2021,8709,1100.0699,24
1400000US06037700802,6037700802,2021,4092,1617.96,41
1400000US06037400404,6037400404,2021,4268,465.67001,6
1400000US06037408623,6037408623,2021,3268,2519.3401,62
1400000US06037121801,6037121801,2021,3127,867.78003,18
1400000US06037621102,6037621102,2021,3069,5746.4702,83
1400000US06037400208,6037400208,2021,616,528.22998,7
1400000US06037400209,6037400209,2021,5021,528.22998,7
1400000US06037267404,6037267404,2021,3475,1524.08,38
1400000US06037910814,6037910814,2021,3968,514.26001,7
1400000US06037408627,6037408627,2021,3003,2422.9099,61
1400000US06037297202,6037297202,2021,3786,3859,73
1400000US06037800325,6037800325,2021,3573,184.08,2
1400000US06037800406,6037800406,2021,2529,176.56,2
1400000US06037920110,6037920110,2021,3116,224.52,3
1400000US06037573003,6037573003,2021,1843,17321.67,99
1400000US06037503704,6037503704,2021,4345,3229.53,69
1400000US06037195202,6037195202,2021,3304,1453.88,35
1400000US06037216302,6037216302,2021,2432,1728,44
1400000US06037216301,6037216301,2021,1935,1728,44
1400000US06037262706,6037262706,2021,3571,1292.05,29
1400000US06037262100,6037262100,2021,2678,1290.48,29
1400000US06037275311,6037275311,2021,5462,2190.5801,58
1400000US06037462900,6037462900,2021,3759,1057.95,22
1400000US06037300702,6037300702,2021,5430,1172.61,26
1400000US06037503705,6037503705,2021,3417,3223.47,69
1400000US06037408402,6037408402,2021,6646,2417.05,61
1400000US06037273700,6037273700,2021,2895,1887.88,49
1400000US06037276500,6037276500,2021,5674,2548.3601,63
1400000US06037620301,6037620301,2021,4819,6345.1001,85
1400000US06037571300,6037571300,2021,4484,6506.6602,85
1400000US06037620522,6037620522,2021,5024,6316.9199,85
1400000US06037463800,6037463800,2021,4087,1194.9399,27
1400000US06037207101,6037207101,2021,3717,1938.14,51
1400000US06037300501,6037300501,2021,3092,1027.29,21
1400000US06037503402,6037503402,2021,4185,2863.3401,66
1400000US06037265100,6037265100,2021,2454,1458.85,35
1400000US06037621001,6037621001,2021,4476,5441.6001,82
1400000US06037551201,6037551201,2021,3272,5604.4502,82
1400000US06037262501,6037262501,2021,3785,1267.26,29
1400000US06037573800,6037573800,2021,4309,4848.0601,79
1400000US06037123601,6037123601,2021,4803,1021.02,20
1400000US06037534002,6037534002,2021,4628,4019.1799,74
1400000US06037570800,6037570800,2021,5300,5245.5498,81
1400000US06037430801,6037430801,2021,6978,1375.42,32
1400000US06037620400,6037620400,2021,5279,5699.9902,83
1400000US06037430302,6037430302,2021,5339,1235.36,28
1400000US06037139301,6037139301,2021,4445,597.33002,10
1400000US06037620701,6037620701,2021,7211,6060.3501,84
1400000US06037910808,6037910808,2021,3445,330.89999,5
1400000US06037480704,6037480704,2021,4619,1331,31
1400000US06037482001,6037482001,2021,2650,1965.41,52
1400000US06037574500,6037574500,2021,6631,7925.4102,89
1400000US06037269300,6037269300,2021,3840,1752.12,45
1400000US06037271702,6037271702,2021,3918,1829.91,47
1400000US06037433803,6037433803,2021,610,3171.8,69
1400000US06037139701,6037139701,2021,5320,935.23999,19
1400000US06037650502,6037650502,2021,4259,7221.27,87
1400000US06037113232,6037113232,2021,4315,363.92001,5
1400000US06037195300,6037195300,2021,3089,1457.1801,35
1400000US06037500204,6037500204,2021,5351,2581.6799,63
1400000US06037530203,6037530203,2021,2728,2614.54,64
1400000US06037500203,6037500203,2021,1877,2581.6799,63
1400000US06037404302,6037404302,2021,2176,1258.4301,29
1400000US06037143101,6037143101,2021,3385,1147.61,25
1400000US06037269905,6037269905,2021,2459,1988.66,53
1400000US06037143102,6037143102,2021,967,1147.61,25
1400000US06037461902,6037461902,2021,1801,1054.2,22
1400000US06037430721,6037430721,2021,3963,1308.01,30
1400000US06037920338,6037920338,2021,5711,66.290001,1
1400000US06037113235,6037113235,2021,1824,80.709999,1
1400000US06037141202,6037141202,2021,2674,1101.48,24
1400000US06037920330,6037920330,2021,3178,282.35999,4
1400000US06037408212,6037408212,2021,5042,2427.76,61
1400000US06037700102,6037700102,2021,4506,1486.26,36
1400000US06037300601,6037300601,2021,3100,1101.63,24
1400000US06037534101,6037534101,2021,2358,4409.6299,77
1400000US06037462202,6037462202,2021,2775,1042.8,21
1400000US06037300602,6037300602,2021,6655,1105.3,24
1400000US06037920039,6037920039,2021,2191,243.57001,4
1400000US06037139402,6037139402,2021,2899,641.52002,12
1400000US06037462400,6037462400,2021,3944,1037.59,21
1400000US06037310400,6037310400,2021,3247,10431.29,94
1400000US06037102104,6037102104,2021,3721,1892.3199,49
1400000US06037650101,6037650101,2021,6018,14982.91,98
1400000US06037276601,6037276601,2021,4115,2451.4299,62
1400000US06037190701,6037190701,2021,1849,1403.61,33
1400000US06037190702,6037190702,2021,836,1403.61,33
1400000US06037460501,6037460501,2021,5544,998.84998,20
1400000US06037555300,6037555300,2021,6119,3975.8999,74
1400000US06037621400,6037621400,2021,4305,5979.0801,84
1400000US06037265201,6037265201,2021,2567,1483.85,36
1400000US06037431600,6037431600,2021,4478,1744.62,45
1400000US06037214600,6037214600,2021,2383,1610.24,40
1400000US06037407701,6037407701,2021,4945,2464.48,62
1400000US06037141303,6037141303,2021,3477,1066.89,22
1400000US06037406601,6037406601,2021,5550,1872.76,49
1400000US06037481404,6037481404,2021,3684,1696.89,43
1400000US06037301205,6037301205,2021,2106,1242.12,28
1400000US06037577400,6037577400,2021,2947,8182.2402,90
1400000US06037407702,6037407702,2021,6744,2334.6101,60
1400000US06037481403,6037481403,2021,2914,1696.89,43
1400000US06037203710,6037203710,2021,3270,2031.67,54
1400000US06037212900,6037212900,2021,4067,1871.05,49
1400000US06037408629,6037408629,2021,3012,2351.95,60
1400000US06037400605,6037400605,2021,5539,1050.35,21
1400000US06037310201,6037310201,2021,5732,1350.64,31
1400000US06037700101,6037700101,2021,5200,1447.26,35
1400000US06037401304,6037401304,2021,4647,1066.02,22
1400000US06037701501,6037701501,2021,5267,1485.85,36
1400000US06037273800,6037273800,2021,2872,1949.4301,52
1400000US06037143401,6037143401,2021,4453,1109.36,24
1400000US06037143402,6037143402,2021,2602,1109.36,24
1400000US06037551300,6037551300,2021,5449,4847.1401,79
1400000US06037403324,6037403324,2021,6117,2140.1299,57
1400000US06037262400,6037262400,2021,3059,1161.6,26
1400000US06037212502,6037212502,2021,2810,1818.6801,47
1400000US06037264306,6037264306,2021,1241,1446.75,34
1400000US06037272302,6037272302,2021,4457,2015.35,54
1400000US06037408722,6037408722,2021,4313,2525.29,63
1400000US06037265204,6037265204,2021,1836,1492.63,36
1400000US06037301802,6037301802,2021,4516,1483.97,36
1400000US06037701502,6037701502,2021,3530,1515.95,37
1400000US06037265203,6037265203,2021,2145,1492.63,36
1400000US06037408626,6037408626,2021,4037,2399.8101,61
1400000US06037264305,6037264305,2021,4682,1447.02,34
1400000US06037271500,6037271500,2021,3187,1827.0601,47
1400000US06037460200,6037460200,2021,5861,1044.12,21
1400000US06037534001,6037534001,2021,5125,4180.8301,76
1400000US06037980035,6037980035,2021,7011,2614.3999,64
1400000US06037700200,6037700200,2021,7446,1449.33,35
1400000US06037920013,6037920013,2021,7199,272.57999,4
1400000US06037187101,6037187101,2021,3438,1482.03,36
1400000US06037408213,6037408213,2021,1255,2426.5801,61
1400000US06037500403,6037500403,2021,3670,2747.5,65
1400000US06037139502,6037139502,2021,2917,797.94,17
1400000US06037408631,6037408631,2021,5214,2501.8999,62
1400000US06037211803,6037211803,2021,3701,1714.4399,44
1400000US06037111201,6037111201,2021,3628,422.10999,6
1400000US06037296402,6037296402,2021,3312,4824.25,79
1400000US06037670201,6037670201,2021,4090,5979.1499,84
1400000US06037702201,6037702201,2021,4110,1658.71,42
1400000US06037262604,6037262604,2021,5523,1165.6899,26
1400000US06037620901,6037620901,2021,2785,5201.3398,81
1400000US06037433302,6037433302,2021,1513,2114.3799,56
1400000US06037109300,6037109300,2021,2962,498.45999,6
1400000US06037403902,6037403902,2021,5140,1252.3199,29
1400000US06037301400,6037301400,2021,4190,1167.08,26
1400000US06037262302,6037262302,2021,2845,1315.27,30
1400000US06037138000,6037138000,2021,4780,610.20001,11
1400000US06037480702,6037480702,2021,4284,1372.9,32
1400000US06037262301,6037262301,2021,2748,1159.8101,26
1400000US06037408724,6037408724,2021,5542,2397.46,61
1400000US06037133101,6037133101,2021,2449,609.48999,11
1400000US06037133102,6037133102,2021,3160,609.48999,11
1400000US06037408725,6037408725,2021,6286,2423.78,61
1400000US06037980039,6037980039,2021,162,1211.08,27
1400000US06037404401,6037404401,2021,3715,1209.61,27
1400000US06037405301,6037405301,2021,3442,1743.15,44
1400000US06037503602,6037503602,2021,4212,3307.0901,70
1400000US06037211121,6037211121,2021,2253,1708.74,43
1400000US06037403320,6037403320,2021,4992,1828.75,47
1400000US06037481712,6037481712,2021,5329,1844.08,48
1400000US06037271803,6037271803,2021,2234,1953.63,52
1400000US06037131900,6037131900,2021,4597,643.87,12
1400000US06037271804,6037271804,2021,3410,1953.63,52
1400000US06037106643,6037106643,2021,4577,130.10001,2
1400000US06037651401,6037651401,2021,2236,6656.9902,86
1400000US06037275500,6037275500,2021,5449,2220.71,58
1400000US06037408624,6037408624,2021,2958,2498.2,62
1400000US06037570003,6037570003,2021,4119,5587.6499,82
1400000US06037214505,6037214505,2021,2546,1668.9301,42
1400000US06037121221,6037121221,2021,2420,694.85999,14
1400000US06037214504,6037214504,2021,2739,1668.9301,42
1400000US06037577200,6037577200,2021,5848,7995.9102,89
1400000US06037651001,6037651001,2021,5444,9267.1504,92
1400000US06037127806,6037127806,2021,3293,835.28998,18
1400000US06037576904,6037576904,2021,3157,9767.4502,93
1400000US06037214902,6037214902,2021,2550,1585.72,40
1400000US06037141400,6037141400,2021,5044,1016.27,20
1400000US06037311802,6037311802,2021,4068,1232.37,28
1400000US06037272100,6037272100,2021,4578,1903.12,50
1400000US06037501504,6037501504,2021,3369,2510.4199,62
1400000US06037143700,6037143700,2021,3685,1229.1899,28
1400000US06037403802,6037403802,2021,6687,1242.12,28
1400000US06037134421,6037134421,2021,4234,256.39999,4
1400000US06037111206,6037111206,2021,4379,344.92999,5
1400000US06037301203,6037301203,2021,4711,1205.45,27
1400000US06037197200,6037197200,2021,3909,1634.3101,41
1400000US06037192001,6037192001,2021,2370,1507.3199,37
1400000US06037404702,6037404702,2021,5629,1957.4301,52
1400000US06037139600,6037139600,2021,5060,832.46997,18
1400000US06037212303,6037212303,2021,3837,1828.6,47
1400000US06037800506,6037800506,2021,3270,955.78998,19
1400000US06037403703,6037403703,2021,4542,1295.47,29
1400000US06037900902,6037900902,2021,2236,1241.39,28
1400000US06037401311,6037401311,2021,6120,724.21002,15
1400000US06037212610,6037212610,2021,4447,1773.38,45
1400000US06037211000,6037211000,2021,5124,1662.84,42
1400000US06037900901,6037900901,2021,1782,1241.39,28
1400000US06037187200,6037187200,2021,2963,1539.36,38
1400000US06037702501,6037702501,2021,4965,2079.03,55
1400000US06037481102,6037481102,2021,4000,1517.84,37
1400000US06037574202,6037574202,2021,2222,18451.461,99
1400000US06037980018,6037980018,2021,23,18451.461,99
1400000US06037430600,6037430600,2021,4553,1131.52,25
1400000US06037212101,6037212101,2021,3187,1808.51,47
1400000US06037191420,6037191420,2021,3096,1576.0699,40
1400000US06037901209,6037901209,2021,1634,252.56,4
1400000US06037500100,6037500100,2021,5126,2509.0701,62
1400000US06037670702,6037670702,2021,5649,4849.7202,79
1400000US06037405002,6037405002,2021,3169,1690.42,43
1400000US06037101110,6037101110,2021,4283,754.97998,16
1400000US06037532700,6037532700,2021,2579,3795.4399,73
1400000US06037403901,6037403901,2021,3174,1201.45,27
1400000US06037311700,6037311700,2021,6200,1180.67,26
1400000US06037300901,6037300901,2021,6540,1119.59,25
1400000US06037192300,6037192300,2021,2463,1547.37,38
1400000US06037482401,6037482401,2021,3670,1905.77,50
1400000US06037137504,6037137504,2021,2155,689.65997,14
1400000US06037271100,6037271100,2021,2445,1747.8199,45
1400000US06037401101,6037401101,2021,5582,1139.03,25
1400000US06037670413,6037670413,2021,4433,4027.8301,74
1400000US06037403402,6037403402,2021,3745,1908.58,50
1400000US06037203800,6037203800,2021,4829,2143.3101,57
1400000US06037482002,6037482002,2021,6760,2064.97,55
1400000US06037930400,6037930400,2021,3298,488.76999,6
1400000US06037551101,6037551101,2021,3964,5317.0601,81
1400000US06037408004,6037408004,2021,2649,2049.02,55
1400000US06037137401,6037137401,2021,4299,548.28003,9
1400000US06037265601,6037265601,2021,3615,1564.53,39
1400000US06037212501,6037212501,2021,1940,1859.24,48
1400000US06037135102,6037135102,2021,3726,504.75,7
1400000US06037401602,6037401602,2021,6294,608.73999,11
1400000US06037599000,6037599000,2021,3684,37.290001,1
1400000US06037267502,6037267502,2021,3632,1561.14,39
1400000US06037920303,6037920303,2021,1683,56.619999,1
1400000US06037920331,6037920331,2021,3482,273.64999,4
1400000US06037462500,6037462500,2021,6146,1002.35,20
1400000US06037700501,6037700501,2021,3526,1467.53,35
1400000US06037430723,6037430723,2021,4365,1324.9399,30
1400000US06037139200,6037139200,2021,5662,704.39001,14
1400000US06037143902,6037143902,2021,2766,1165.1801,26
1400000US06037621324,6037621324,2021,3740,5563.98,82
1400000US06037920314,6037920314,2021,2935,273.70999,4
1400000US06037106405,6037106405,2021,4758,301.17001,5
1400000US06037573401,6037573401,2021,1642,79796.469,100
1400000US06037213401,6037213401,2021,4859,1908.88,50
1400000US06037123602,6037123602,2021,3659,993.89001,20
1400000US06037408005,6037408005,2021,5161,1756.6801,45
1400000US06037301100,6037301100,2021,7114,1166.48,26
1400000US06037273600,6037273600,2021,2375,1893.47,50
1400000US06037434100,6037434100,2021,5885,2539.1699,63
1400000US06037261200,6037261200,2021,4182,1226.9,28
1400000US06037277000,6037277000,2021,5566,2638.78,64
1400000US06037430901,6037430901,2021,4502,1437.85,34
1400000US06037650605,6037650605,2021,3064,10510.25,94
1400000US06037267101,6037267101,2021,2918,1616.3199,41
1400000US06037574300,6037574300,2021,6052,9070.0898,92
1400000US06037267102,6037267102,2021,3731,1616.3199,41
1400000US06037700300,6037700300,2021,6223,1451.4,35
1400000US06037108102,6037108102,2021,3552,97.849998,1
1400000US06037211704,6037211704,2021,2796,1711.5699,44
1400000US06037920334,6037920334,2021,6088,258.92001,4
1400000US06037920326,6037920326,2021,7573,72.589996,1
1400000US06037120105,6037120105,2021,2832,662.16998,13
1400000US06037121210,6037121210,2021,2926,735.39001,15
1400000US06037502003,6037502003,2021,2634,2708.1699,65
1400000US06037261104,6037261104,2021,2329,1290.63,29
1400000US06037464102,6037464102,2021,3499,1225.75,28
1400000US06037464101,6037464101,2021,3608,1225.75,28
1400000US06037106645,6037106645,2021,3650,240.87,3
1400000US06037301501,6037301501,2021,1790,1204.89,27
1400000US06037189702,6037189702,2021,2201,1320.58,30
1400000US06037430724,6037430724,2021,4723,1366.62,31
1400000US06037800101,6037800101,2021,5738,566.07001,9
1400000US06037191110,6037191110,2021,3478,1431.23,34
1400000US06037101300,6037101300,2021,3884,830.45001,18
1400000US06037403326,6037403326,2021,1180,2067.03,55
1400000US06037261103,6037261103,2021,1054,1290.63,29
1400000US06037405900,6037405900,2021,3951,1321.08,30
1400000US06037189101,6037189101,2021,2521,1408.6899,33
1400000US06037700400,6037700400,2021,5162,1517.77,37
1400000US06037310300,6037310300,2021,2881,1790.47,46
1400000US06037670418,6037670418,2021,3817,4850.8198,79
1400000US06037530802,6037530802,2021,3165,2024.63,54
1400000US06037207712,6037207712,2021,1725,2119.8301,56
1400000US06037207711,6037207711,2021,2940,2119.8301,56
1400000US06037122122,6037122122,2021,2728,939.84998,19
1400000US06037433403,6037433403,2021,4882,2234.8401,58
1400000US06037702202,6037702202,2021,3969,1727.9301,44
1400000US06037533104,6037533104,2021,4415,4098.3701,75
1400000US06037402403,6037402403,2021,5231,1480.13,36
1400000US06037670324,6037670324,2021,5091,5186.2402,81
1400000US06037141201,6037141201,2021,4583,1086,23
1400000US06037107010,6037107010,2021,3141,520.64001,7
1400000US06037124500,6037124500,2021,2925,1039.98,21
1400000US06037271902,6037271902,2021,4207,1920.9301,51
1400000US06037620305,6037620305,2021,5845,5835.4502,84
1400000US06037113101,6037113101,2021,3719,112.05,2
1400000US06037551204,6037551204,2021,3795,5588.23,82
1400000US06037551203,6037551203,2021,4045,5588.23,82
1400000US06037920102,6037920102,2021,5409,174.07001,2
1400000US06037533701,6037533701,2021,2998,3737.3701,73
1400000US06037481711,6037481711,2021,4246,1832.8199,48
1400000US06037275603,6037275603,2021,2537,2364.53,60
1400000US06037124000,6037124000,2021,5219,1083.01,23
1400000US06037271300,6037271300,2021,4395,1739.54,44
1400000US06037570001,6037570001,2021,4764,4737.5898,79
1400000US06037269100,6037269100,2021,4274,1703.12,43
1400000US06037620102,6037620102,2021,3355,4142.0298,75
1400000US06037800324,6037800324,2021,6966,167.99001,2
1400000US06037551502,6037551502,2021,4898,6076.4702,84
1400000US06037300100,6037300100,2021,6014,926.79999,19
1400000US06037534404,6037534404,2021,3677,4850.4199,79
1400000US06037503106,6037503106,2021,4091,3427.8101,71
1400000US06037294610,6037294610,2021,4334,11590.12,95
1400000US06037551002,6037551002,2021,2887,4144.5898,75
1400000US06037139001,6037139001,2021,5639,773.15997,16
1400000US06037480201,6037480201,2021,3787,1360.35,31
1400000US06037430301,6037430301,2021,4319,1052.35,22
1400000US06037141500,6037141500,2021,2927,1061.36,22
1400000US06037502602,6037502602,2021,4477,3306.79,70
1400000US06037551001,6037551001,2021,4276,4144.5898,75
1400000US06037463300,6037463300,2021,1970,1130.39,25
1400000US06037106403,6037106403,2021,3667,419.98999,6
1400000US06037576903,6037576903,2021,3644,10339.31,94
1400000US06037400403,6037400403,2021,4347,511.28,7
1400000US06037532200,6037532200,2021,7363,3451.0801,71
1400000US06037310705,6037310705,2021,3476,1280.35,29
1400000US06037119700,6037119700,2021,4913,757.19,16
1400000US06037310704,6037310704,2021,3090,1280.35,29
1400000US06037550201,6037550201,2021,2673,4030.6299,74
1400000US06037403407,6037403407,2021,2314,1768,45
1400000US06037408707,6037408707,2021,6698,2258.3301,59
1400000US06037297300,6037297300,2021,2193,3469.0701,71
1400000US06037125200,6037125200,2021,3907,1088.1899,23
1400000US06037700600,6037700600,2021,5021,1421.58,33
1400000US06037800411,6037800411,2021,4079,284.70999,4
1400000US06037408705,6037408705,2021,5625,2326.25,60
1400000US06037531102,6037531102,2021,3210,2352.9099,60
1400000US06037800412,6037800412,2021,3193,284.70999,4
1400000US06037195201,6037195201,2021,3128,1406.8,33
1400000US06037262200,6037262200,2021,4405,1221.02,28
1400000US06037119310,6037119310,2021,4087,601.28003,11
1400000US06037481901,6037481901,2021,5775,1736.8199,44
1400000US06037217002,6037217002,2021,4639,1788.5,46
1400000US06037920120,6037920120,2021,1248,334.26001,5
1400000US06037294301,6037294301,2021,2471,13364.2,97
1400000US06037460700,6037460700,2021,5139,1135.95,25
1400000US06037294620,6037294620,2021,4683,12120.69,96
1400000US06037403305,6037403305,2021,2294,2322.3899,60
1400000US06037189704,6037189704,2021,723,1239.16,28
1400000US06037910218,6037910218,2021,4842,32589.83,100
1400000US06037109700,6037109700,2021,4616,545.59998,8
1400000US06037264103,6037264103,2021,2658,1442.9301,34
1400000US06037113322,6037113322,2021,4572,274.60999,4
1400000US06037503901,6037503901,2021,2942,3401.3601,70
1400000US06037920045,6037920045,2021,4282,209.28,3
1400000US06037601402,6037601402,2021,4793,3951.49,74
1400000US06037554101,6037554101,2021,3548,5651.4102,83
1400000US06037408141,6037408141,2021,5366,2157.8201,57
1400000US06037570902,6037570902,2021,3583,4783.0498,79
1400000US06037117407,6037117407,2021,3836,634.96002,12
1400000US06037270200,6037270200,2021,3226,1954.9399,52
1400000US06037103401,6037103401,2021,3596,751.53998,16
1400000US06037189703,6037189703,2021,2544,1240.58,28
1400000US06037104822,6037104822,2021,2839,681.12,14
1400000US06037576700,6037576700,2021,3935,8430.25,90
1400000US06037103402,6037103402,2021,2820,751.53998,16
1400000US06037920312,6037920312,2021,5826,182.55,2
1400000US06037216700,6037216700,2021,3835,1826.95,47
1400000US06037115101,6037115101,2021,5083,562.72998,9
1400000US06037402803,6037402803,2021,3270,819.54999,17
1400000US06037185202,6037185202,2021,3627,1567.5699,39
1400000US06037500500,6037500500,2021,2377,2898.4199,67
1400000US06037185102,6037185102,2021,3898,1487.03,36
1400000US06037183220,6037183220,2021,4155,1324.89,30
1400000US06037185101,6037185101,2021,2172,1487.03,36
1400000US06037294200,6037294200,2021,4874,14259.67,98
1400000US06037620601,6037620601,2021,5278,7542.7598,88
1400000US06037620703,6037620703,2021,3211,6280.7798,85
1400000US06037620704,6037620704,2021,4160,6280.7798,85
1400000US06037143301,6037143301,2021,2325,1118.34,24
1400000US06037920121,6037920121,2021,10571,309.79001,5
1400000US06037296600,6037296600,2021,5358,4626.79,78
1400000US06037273502,6037273502,2021,2861,1859.96,49
1400000US06037123420,6037123420,2021,4408,953.44,19
1400000US06037278001,6037278001,2021,2508,2892.4299,67
1400000US06037143302,6037143302,2021,4161,1118.34,24
1400000US06037143901,6037143901,2021,4069,1198.3,27
1400000US06037269000,6037269000,2021,4813,1774.4301,45
1400000US06037139401,6037139401,2021,2706,708.54999,15
1400000US06037117404,6037117404,2021,5324,630.06,12
1400000US06037543603,6037543603,2021,4301,14299.83,98
1400000US06037181400,6037181400,2021,4943,1280.99,29
1400000US06037301502,6037301502,2021,6791,1218.21,27
1400000US06037310100,6037310100,2021,5644,1308.55,30
1400000US06037555211,6037555211,2021,5652,4175.1299,76
1400000US06037269909,6037269909,2021,1978,1875.49,49
1400000US06037276607,6037276607,2021,2637,2668.78,65
1400000US06037183701,6037183701,2021,3720,1390.92,32
1400000US06037920028,6037920028,2021,6620,289.51999,5
1400000US06037269908,6037269908,2021,1949,1875.49,49
1400000US06037430701,6037430701,2021,5846,1220.16,27
1400000US06037401601,6037401601,2021,5368,581.83002,10
1400000US06037276608,6037276608,2021,1987,2668.78,65
